product,console,variant,type,source,market_price,old_price,new_price,diff,profit,status,notes
Abadox - NES Game,NES,game only,loose,ebay(48),18.83,22.99,25.99,3.00,6.11,APPLIED,
Abadox - NES Game,NES,complete (cib),cib,ebay(5),73.59,40.99,99.99,59.00,23.20,APPLIED,
Academy of Champions Soccer - Wii Game,Wii,game only,loose,pc,6.43,8.99,8.99,0.00,2.00,NO_CHANGE,
Academy of Champions Soccer - Wii Game,Wii,complete (cib),cib,pc,6.67,15.99,9.99,-6.00,2.73,APPLIED,
Active Life: Extreme Challenge - Wii Game,Wii,game only,loose,pc,5.83,7.99,7.99,0.00,1.63,NO_CHANGE,
Active Life: Extreme Challenge - Wii Game,Wii,complete (cib),cib,pc,6.95,9.99,9.99,0.00,2.45,NO_CHANGE,
ActRaiser - SNES Game,SNES,game only,loose,ebay(37),19.84,62.99,26.99,-36.00,6.07,APPLIED,
ActRaiser 2 - SNES Game,SNES,game only,loose,ebay(53),46.00,54.99,62.99,8.00,14.86,APPLIED,
ActRaiser 2 - SNES Game,SNES,complete (cib),cib,ebay(16),138.00,97.99,186.99,89.00,43.27,APPLIED,
Adidas Power Soccer 98 - PS1 Game,Playstation,game only,loose,pc,6.19,9.41,8.99,-0.42,2.24,NO_CHANGE,
Adidas Power Soccer 98 - PS1 Game,Playstation,complete (cib),cib,pc,32.76,44.99,44.99,0.00,10.63,NO_CHANGE,
Adventure Island 3 - NES Game,NES,game only,loose,ebay(44),57.24,108.99,77.99,-31.00,18.19,APPLIED,
Adventure Island 3 - NES Game,NES,complete (cib),cib,ebay(4),243.79,195.99,329.99,134.00,76.33,APPLIED,
Adventures of Batman and Robin - Sega Genesis Game,Sega Genesis,game only,loose,pc,29.37,39.99,39.99,0.00,9.16,NO_CHANGE,
Adventures of Batman and Robin - Sega Genesis Game,Sega Genesis,complete (cib),cib,pc,125.00,168.99,168.99,0.00,38.79,NO_CHANGE,
Adventures of Dino Riki - NES Game,NES,game only,loose,ebay(81),13.79,16.99,18.99,2.00,4.35,APPLIED,
Adventures of Dr Franken - SNES Game,SNES,game only,loose,ebay(37),21.15,20.99,28.99,8.00,6.70,APPLIED,
Adventures to Go - PSP Game,PSP,game only,loose,pc,9.47,12.99,12.99,0.00,2.84,NO_CHANGE,
Adventures to Go - PSP Game,PSP,complete (cib),cib,pc,11.00,14.99,14.99,0.00,3.26,NO_CHANGE,
Aero the Acro-Bat - SNES Game,SNES,game only,loose,ebay(61),13.80,16.99,18.99,2.00,4.34,APPLIED,
Aero the Acro-Bat - SNES Game,SNES,complete (cib),cib,ebay(4),33.99,29.99,45.99,16.00,10.37,APPLIED,
Aero the Acro-Bat 2 - SNES Game,SNES,game only,loose,ebay(31),59.82,93.99,80.99,-13.00,18.52,APPLIED,
Aero the Acro-Bat 2 - SNES Game,SNES,complete (cib),cib,ebay(6),275.95,168.99,372.99,204.00,85.92,APPLIED,
AFL Premiership 2006 - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Air Conflicts - PSP Game,PSP,,,,,,,,,NO_MATCH,PC and eBay both failed
Air Diver - Sega Genesis Game,Sega Genesis,game only,loose,ebay(30),9.94,9.48,13.99,4.51,3.34,APPLIED,
Air Diver - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(12),20.70,16.99,27.99,11.00,6.18,APPLIED,
Aladdin - SNES Game,SNES,game only,loose,ebay(62),9.80,21.99,13.99,-8.00,3.48,APPLIED,
Alien 3 - SNES Game,SNES,game only,loose,ebay(70),16.30,29.67,22.99,-6.68,5.72,APPLIED,
Alien Monster Bowling League - Wii Game,Wii,game only,loose,ebay(23),11.95,9.08,16.99,7.91,4.25,APPLIED,
Alien Monster Bowling League - Wii Game,Wii,complete (cib),cib,ebay(11),13.75,10.99,18.99,8.00,4.39,APPLIED,
All-Star Baseball 2000 - Gameboy Color Game,Gameboy Color,game only,loose,pc,5.37,7.99,7.99,0.00,2.09,NO_CHANGE,
All-Star Baseball 2000 - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,15.97,21.99,21.99,0.00,5.08,NO_CHANGE,
All-Star Baseball 2001 - Gameboy Color Game,Gameboy Color,game only,loose,ebay(24),9.66,8.99,13.99,5.00,3.62,APPLIED,
All-Star Baseball 2003 - GBA Game,Gameboy Advance,game only,loose,ebay(20),7.82,7.24,10.99,3.75,2.55,APPLIED,
All-Star Baseball 2004 - Xbox Game,Xbox,game only,loose,ebay(48),6.44,6.99,8.99,2.00,1.99,APPLIED,
All-Star Baseball 2004 - Xbox Game,Xbox,complete (cib),cib,ebay(16),9.19,11.99,12.99,1.00,3.12,APPLIED,
All-Star Baseball 2005 - PS2 Game,Playstation 2,game only,loose,ebay(68),5.81,10.99,7.99,-3.00,1.65,APPLIED,
All-Star Baseball 2005 - PS2 Game,Playstation 2,complete (cib),cib,ebay(13),6.43,18.99,8.99,-10.00,2.00,APPLIED,
All-Star Baseball 2005 - Xbox Game,Xbox,game only,loose,ebay(59),6.44,5.39,8.99,3.60,1.99,APPLIED,
All-Star Baseball 2005 - Xbox Game,Xbox,complete (cib),cib,ebay(22),5.52,8.99,7.99,-1.00,1.94,APPLIED,
Alleyway - Gameboy Game,Gameboy,game only,loose,pc,10.06,14.43,13.99,-0.44,3.22,NO_CHANGE,
Alleyway - Gameboy Game,Gameboy,complete (cib),cib,pc,51.98,70.99,70.99,0.00,16.65,NO_CHANGE,
Alone in the Dark - Wii Game,Wii,game only,loose,pc,5.58,7.63,7.99,0.36,1.88,NO_CHANGE,
Alone in the Dark - Wii Game,Wii,complete (cib),cib,pc,8.74,11.99,11.99,0.00,2.60,NO_CHANGE,
Alone In The Dark The New Nightmare - Gameboy Color Game,Gameboy Color,game only,loose,pc,33.02,44.99,44.99,0.00,10.37,NO_CHANGE,
Alone In The Dark The New Nightmare - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,60.00,79.99,81.99,2.00,19.31,APPLIED,
Alvin And The Chipmunks The Game - Wii Game,Wii,game only,loose,pc,3.69,5.54,4.99,-0.55,0.86,APPLIED,
Alvin And The Chipmunks The Game - Wii Game,Wii,complete (cib),cib,pc,6.48,7.99,8.99,1.00,1.95,APPLIED,
American Dragon Jake Long Rise of the Huntsclan - GBA Game,Gameboy Advance,game only,loose,pc,8.09,10.99,10.99,0.00,2.28,NO_CHANGE,
American Dragon Jake Long Rise of the Huntsclan - GBA Game,Gameboy Advance,complete (cib),cib,pc,30.02,18.99,40.99,22.00,9.48,APPLIED,
Animal Kingdom: Wildlife Expedition - Wii Game,Wii,game only,loose,ebay(34),8.58,8.59,11.99,3.40,2.76,APPLIED,
Animal Kingdom: Wildlife Expedition - Wii Game,Wii,complete (cib),cib,ebay(8),6.44,14.99,8.99,-6.00,1.99,APPLIED,
Animal Snap - GBA Game,Gameboy Advance,game only,loose,pc,4.69,7.32,6.99,-0.33,1.80,NO_CHANGE,
Animal Snap - GBA Game,Gameboy Advance,complete (cib),cib,pc,12.99,17.99,17.99,0.00,4.18,NO_CHANGE,
Animaniacs - SNES Game,SNES,game only,loose,ebay(72),15.17,16.99,20.99,4.00,4.91,APPLIED,
Animaniacs - SNES Game,SNES,complete (cib),cib,ebay(9),81.77,29.99,110.99,81.00,25.70,APPLIED,
Animaniacs Ten Pin Alley - PS1 Game,Playstation,game only,loose,ebay(10),8.28,11.38,11.99,0.61,3.06,APPLIED,
Animorphs Shattered Reality - PS1 Game,Playstation,game only,loose,ebay(5),11.04,18.98,14.99,-3.99,3.22,APPLIED,
Antz - Gameboy Color Game,Gameboy Color,game only,loose,pc,6.90,9.96,9.99,0.03,2.50,NO_CHANGE,
Antz - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,13.50,18.99,18.99,0.00,4.64,NO_CHANGE,
Ape Escape On the Loose - PSP Game,PSP,game only,loose,pc,9.49,12.99,12.99,0.00,2.82,NO_CHANGE,
Ape Escape On the Loose - PSP Game,PSP,complete (cib),cib,pc,12.77,17.99,17.99,0.00,4.40,NO_CHANGE,
Aquatic Games Starring James Pond - Sega Genesis Game,Sega Genesis,game only,loose,ebay(16),15.16,13.99,20.99,7.00,4.92,APPLIED,
Arc The Lad Collection - PS1 Game,Playstation,game only,loose,pc,68.54,92.99,92.99,0.00,21.45,NO_CHANGE,
Arc The Lad Collection - PS1 Game,Playstation,complete (cib),cib,pc,167.48,226.99,226.99,0.00,52.63,NO_CHANGE,
Arcade's Greatest Hits Atari Collection 1 - PS1 Game,Playstation,game only,loose,pc,5.87,7.99,7.99,0.00,1.59,NO_CHANGE,
Arcade's Greatest Hits Atari Collection 1 - PS1 Game,Playstation,complete (cib),cib,pc,8.89,12.99,12.99,0.00,3.42,NO_CHANGE,
Archon - NES Game,NES,game only,loose,ebay(60),13.79,16.88,18.99,2.11,4.35,APPLIED,
Archon - NES Game,NES,complete (cib),cib,ebay(9),81.87,29.99,110.99,81.00,25.60,APPLIED,
Are You Smarter Than A 5th Grader? Make the Grade - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Arena Football Road to Glory - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Army Men - Gameboy Color Game,Gameboy Color,game only,loose,pc,13.98,18.99,18.99,0.00,4.16,NO_CHANGE,
Army Men - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,32.12,43.99,43.99,0.00,10.29,NO_CHANGE,
Army Men 2 - Gameboy Color Game,Gameboy Color,game only,loose,pc,8.02,10.59,10.99,0.40,2.35,NO_CHANGE,
Army Men 2 - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,20.00,27.99,27.99,0.00,6.88,NO_CHANGE,
Army Men Air Combat Elite Missions - Gamecube Game,Gamecube,game only,loose,ebay(7),34.87,26.99,47.99,21.00,11.43,APPLIED,
Army Men World War Land Sea Air - PS1 Game,Playstation,game only,loose,pc,7.12,15.11,9.99,-5.12,2.28,APPLIED,
Army Men World War Land Sea Air - PS1 Game,Playstation,complete (cib),cib,pc,12.97,26.99,17.99,-9.00,4.20,APPLIED,
Art Alive - Sega Genesis Game,Sega Genesis,game only,loose,ebay(46),11.52,9.37,15.99,6.62,3.71,APPLIED,
Art Alive - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(10),18.30,15.99,24.99,9.00,5.67,APPLIED,
Assassin's Creed: Bloodli - NES Game - PSP Game,PSP,game only,loose,pc,13.80,18.78,18.99,0.21,4.34,NO_CHANGE,
Assassin's Creed: Bloodli - NES Game - PSP Game,PSP,complete (cib),cib,pc,19.88,26.99,26.99,0.00,6.03,NO_CHANGE,
Assault Retribution - PS1 Game,Playstation,game only,loose,ebay(6),14.26,13.76,19.99,6.23,4.85,APPLIED,
Astro Boy: The Video Game - Wii Game,Wii,game only,loose,pc,4.89,6.99,6.99,0.00,1.60,NO_CHANGE,
Astro Boy: The Video Game - Wii Game,Wii,complete (cib),cib,pc,6.22,8.99,8.99,0.00,2.21,NO_CHANGE,
Atari Anniversary Edition - Sega Dreamcast Game,Sega Dreamcast,game only,loose,ebay(45),12.88,12.99,17.99,5.00,4.29,APPLIED,
Atari Anniversary Edition - Sega Dreamcast Game,Sega Dreamcast,complete (cib),cib,ebay(28),13.80,22.99,18.99,-4.00,4.34,APPLIED,
Atomic Robo-Kid - Sega Genesis Game,Sega Genesis,game only,loose,ebay(40),39.10,31.54,52.99,21.45,12.05,APPLIED,
Atomic Robo-Kid - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(10),50.59,55.99,68.99,13.00,16.10,APPLIED,
ATV Quad Power Racing - GBA Game,Gameboy Advance,game only,loose,pc,4.33,6.10,5.99,-0.11,1.19,NO_CHANGE,
ATV Quad Power Racing - GBA Game,Gameboy Advance,complete (cib),cib,pc,10.18,13.99,13.99,0.00,3.10,NO_CHANGE,
Avatar the Last Airbender - Gamecube Game,Gamecube,game only,loose,ebay(73),11.03,14.99,14.99,0.00,3.23,NO_CHANGE,
Avatar the Last Airbender - Gamecube Game,Gamecube,complete (cib),cib,ebay(10),9.19,25.99,12.99,-13.00,3.12,APPLIED,
Axelay - SNES Game,SNES,game only,loose,ebay(43),80.03,131.54,108.99,-22.55,25.50,APPLIED,
Axelay - SNES Game,SNES,complete (cib),cib,ebay(11),321.95,235.99,434.99,199.00,100.13,APPLIED,
Azurik Rise of Perathia - Xbox Game,Xbox,game only,loose,pc,5.59,7.77,7.99,0.22,1.87,NO_CHANGE,
Azurik Rise of Perathia - Xbox Game,Xbox,complete (cib),cib,pc,11.77,15.99,15.99,0.00,3.46,NO_CHANGE,
Baby Boomer - NES Game,NES,game only,loose,ebay(9),101.20,104.30,136.99,32.69,31.52,APPLIED,
Back to the Future II and III - NES Game,NES,game only,loose,pc,21.57,29.99,29.99,0.00,7.25,NO_CHANGE,
Back to the Future II and III - NES Game,NES,complete (cib),cib,pc,121.01,163.99,163.99,0.00,37.92,NO_CHANGE,
Backstreet Billiards - PS1 Game,Playstation,game only,loose,ebay(4),12.70,8.95,17.99,9.04,4.47,APPLIED,
Backyard Baseball '10 - PS2 Game,Playstation 2,game only,loose,ebay(14),7.81,16.97,10.99,-5.98,2.56,APPLIED,
Backyard Baseball '10 - PS2 Game,Playstation 2,complete (cib),cib,ebay(4),9.28,29.99,12.99,-17.00,3.03,APPLIED,
Backyard Football 08 - PS2 Game,Playstation 2,game only,loose,ebay(19),6.90,10.45,9.99,-0.46,2.50,NO_CHANGE,
Backyard Football 08 - PS2 Game,Playstation 2,complete (cib),cib,ebay(6),7.66,17.99,10.99,-7.00,2.71,APPLIED,
Backyard Football 2006 - GBA Game,Gameboy Advance,game only,loose,ebay(70),8.29,5.79,11.99,6.20,3.05,APPLIED,
Backyard Football 2006 - PS2 Game,Playstation 2,game only,loose,ebay(64),6.89,8.32,9.99,1.67,2.51,APPLIED,
Backyard Football 2006 - PS2 Game,Playstation 2,complete (cib),cib,ebay(12),5.64,13.99,7.99,-6.00,1.82,APPLIED,
Backyard Hockey - GBA Game,Gameboy Advance,game only,loose,ebay(53),7.35,8.31,9.99,1.68,2.05,APPLIED,
Backyard Hockey - GBA Game,Gameboy Advance,complete (cib),cib,ebay(5),36.79,13.99,49.99,36.00,11.45,APPLIED,
Bad Boys Miami Takedown - Gamecube Game,Gamecube,game only,loose,ebay(9),13.71,20.99,18.99,-2.00,4.43,APPLIED,
Bad Boys Miami Takedown - Gamecube Game,Gamecube,complete (cib),cib,ebay(4),20.08,36.99,27.99,-9.00,6.80,APPLIED,
Bad Boys Miami Takedown - PS2 Game,Playstation 2,,,,,,,,,NO_MATCH,PC and eBay both failed
Bad News Baseball - NES Game,NES,game only,loose,ebay(47),21.61,26.33,29.99,3.66,7.21,APPLIED,
Bad News Baseball - NES Game,NES,complete (cib),cib,ebay(9),59.79,46.99,80.99,34.00,18.55,APPLIED,
Bad Street Brawler - NES Game,NES,game only,loose,ebay(46),13.79,14.49,18.99,4.50,4.35,APPLIED,
Bandai Golf Challenge Pebble Beach - NES Game,NES,game only,loose,ebay(88),7.19,5.09,9.99,4.90,2.21,APPLIED,
Barbie Game Girl - Gameboy Game,Gameboy,game only,loose,pc,10.31,14.46,13.99,-0.47,2.97,NO_CHANGE,
Barbie Game Girl - Gameboy Game,Gameboy,complete (cib),cib,pc,108.10,145.99,145.99,0.00,33.36,NO_CHANGE,
Barbie Gotta Have Games - PS1 Game,Playstation,game only,loose,ebay(5),9.19,9.50,12.99,3.49,3.12,APPLIED,
Barbie Horse Adventures Wild Horse Rescue - PS2 Game,Playstation 2,game only,loose,pc,19.99,19.84,26.99,7.15,5.92,APPLIED,
Barbie Horse Adventures Wild Horse Rescue - PS2 Game,Playstation 2,complete (cib),cib,pc,20.31,34.99,27.99,-7.00,6.57,APPLIED,
Bard's Tale - Xbox Game,Xbox,game only,loose,pc,6.60,8.99,8.99,0.00,1.83,NO_CHANGE,
Bard's Tale - Xbox Game,Xbox,complete (cib),cib,pc,10.00,13.99,13.99,0.00,3.28,NO_CHANGE,
Baseball Blast! - Wii Game,Wii,game only,loose,ebay(36),7.52,10.51,10.99,0.48,2.85,NO_CHANGE,
Baseball Blast! - Wii Game,Wii,complete (cib),cib,ebay(7),7.21,17.99,9.99,-8.00,2.19,APPLIED,
Baseball Stars 2 - NES Game,NES,game only,loose,ebay(13),32.94,40.67,44.99,4.32,10.45,APPLIED,
Bases Loaded 2 Second Season - NES Game,NES,game only,loose,ebay(91),7.35,7.24,9.99,2.75,2.05,APPLIED,
Bass Rise - PS1 Game,Playstation,game only,loose,pc,6.63,9.48,8.99,-0.49,1.80,NO_CHANGE,
Bass Rise - PS1 Game,Playstation,complete (cib),cib,pc,10.14,13.99,13.99,0.00,3.14,NO_CHANGE,
Bass Strike - PS2 Game,Playstation 2,game only,loose,pc,5.32,8.08,7.99,-0.09,2.14,NO_CHANGE,
Bass Strike - PS2 Game,Playstation 2,complete (cib),cib,pc,6.53,8.99,8.99,0.00,1.90,NO_CHANGE,
Bassmasters Classic - Gameboy Color Game,Gameboy Color,game only,loose,pc,6.18,8.89,8.99,0.10,2.25,NO_CHANGE,
Bassmasters Classic - Gameboy Color Game,Gameboy Color,complete (cib),cib,pc,16.66,22.99,22.99,0.00,5.36,NO_CHANGE,
Batman Beyond - Nintendo 64 Game,Nintendo 64,,,,,,,,,NO_MATCH,PC and eBay both failed
Batman Forever - SNES Game,SNES,game only,loose,ebay(85),9.19,12.30,12.99,0.69,3.12,APPLIED,
Batman Returns - Sega Genesis Game,Sega Genesis,game only,loose,ebay(51),13.80,19.39,18.99,-0.40,4.34,NO_CHANGE,
Batman Returns - SNES Game,SNES,game only,loose,ebay(64),32.19,50.99,43.99,-7.00,10.22,APPLIED,
Batman Revenge of the Joker - Sega Genesis Game,Sega Genesis,game only,loose,ebay(23),64.39,78.72,86.99,8.27,19.78,APPLIED,
Batman Rise of Sin Tzu - GBA Game,Gameboy Advance,game only,loose,ebay(14),30.47,36.24,41.99,5.75,10.00,APPLIED,
Batman Vengeance - PS2 Game,Playstation 2,game only,loose,pc,16.00,21.99,21.99,0.00,5.05,NO_CHANGE,
Batman Vengeance - PS2 Game,Playstation 2,complete (cib),cib,pc,28.06,37.99,37.99,0.00,8.53,NO_CHANGE,
Battle Bull - Gameboy Game,Gameboy,game only,loose,ebay(8),25.46,27.59,34.99,7.40,8.22,APPLIED,
Battle Clash - SNES Game,SNES,game only,loose,ebay(66),8.23,10.22,11.99,1.77,3.11,APPLIED,
Battle Engine Aquila - PS2 Game,Playstation 2,game only,loose,pc,9.52,13.41,12.99,-0.42,2.79,NO_CHANGE,
Battle Engine Aquila - PS2 Game,Playstation 2,complete (cib),cib,pc,18.98,25.99,25.99,0.00,5.96,NO_CHANGE,
Battle Hunter - PS1 Game,Playstation,,,,,,,,,NO_MATCH,PC and eBay both failed
Battle Master - Sega Genesis Game,Sega Genesis,game only,loose,ebay(14),22.38,22.23,30.99,8.76,7.41,APPLIED,
Battle of Giants: Dinosaurs Strike - Wii Game,Wii,game only,loose,ebay(24),13.79,12.73,18.99,6.26,4.35,APPLIED,
Battle of Giants: Dinosaurs Strike - Wii Game,Wii,complete (cib),cib,ebay(7),16.53,21.99,22.99,1.00,5.49,APPLIED,
Battle Squadron - Sega Genesis Game,Sega Genesis,game only,loose,ebay(16),19.85,27.48,26.99,-0.49,6.06,NO_CHANGE,
Battle Stations - Sega Saturn Game,Sega Saturn,game only,loose,pc,9.77,13.58,13.99,0.41,3.51,NO_CHANGE,
Battle Stations - Sega Saturn Game,Sega Saturn,complete (cib),cib,pc,19.97,26.99,26.99,0.00,5.94,NO_CHANGE,
Battlestar Galactica - PS2 Game,Playstation 2,game only,loose,pc,12.16,16.99,16.99,0.00,4.04,NO_CHANGE,
Battlestar Galactica - PS2 Game,Playstation 2,complete (cib),cib,pc,13.21,17.99,17.99,0.00,3.96,NO_CHANGE,
Battletech - Sega Genesis Game,Sega Genesis,game only,loose,ebay(57),27.59,28.25,37.99,9.74,9.00,APPLIED,
Battletech - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(13),39.55,49.99,53.99,4.00,12.57,APPLIED,
Bee Movie Game - Wii Game,Wii,game only,loose,pc,4.99,6.99,6.99,0.00,1.50,NO_CHANGE,
Bee Movie Game - Wii Game,Wii,complete (cib),cib,pc,7.82,10.99,10.99,0.00,2.55,NO_CHANGE,
Beetlejuice - Gameboy Game,Gameboy,game only,loose,ebay(20),50.35,75.60,67.99,-7.61,15.37,APPLIED,
BeetleJuice - NES Game,NES,game only,loose,ebay(76),34.04,44.05,45.99,1.94,10.32,APPLIED,
BeetleJuice - NES Game,NES,complete (cib),cib,ebay(4),161.28,78.99,217.99,139.00,50.09,APPLIED,
Ben 10 Alien Force - PSP Game,PSP,game only,loose,pc,8.04,10.99,10.99,0.00,2.33,NO_CHANGE,
Ben 10 Alien Force - PSP Game,PSP,complete (cib),cib,pc,11.52,15.99,15.99,0.00,3.71,NO_CHANGE,
Ben 10 Protector of Earth - Wii Game,Wii,game only,loose,pc,4.98,6.56,6.99,0.43,1.51,NO_CHANGE,
Ben 10 Protector of Earth - Wii Game,Wii,complete (cib),cib,pc,7.40,10.99,10.99,0.00,2.97,NO_CHANGE,
Berenstain Bears and the Spooky Old Tree - GBA Game,Gameboy Advance,game only,loose,ebay(20),10.64,15.27,14.99,-0.28,3.62,NO_CHANGE,
Bermuda Triangle: Saving the Coral - Wii Game,Wii,game only,loose,pc,4.02,5.99,5.99,0.00,1.50,NO_CHANGE,
Bermuda Triangle: Saving the Coral - Wii Game,Wii,complete (cib),cib,pc,9.29,12.99,12.99,0.00,3.02,NO_CHANGE,
Beyblade V Force - GBA Game,Gameboy Advance,game only,loose,ebay(74),8.00,5.44,10.99,5.55,2.37,APPLIED,
Beyblade: Metal Fusion Battle Fortress - Wii Game,Wii,game only,loose,pc,9.02,12.99,12.99,0.00,3.29,NO_CHANGE,
Beyblade: Metal Fusion Battle Fortress - Wii Game,Wii,complete (cib),cib,pc,11.01,14.99,14.99,0.00,3.25,NO_CHANGE,
Beyond Oasis - Sega Genesis Game,Sega Genesis,game only,loose,ebay(17),86.47,74.30,116.99,42.69,26.83,APPLIED,
Beyond Oasis - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(7),211.59,132.99,285.99,153.00,65.81,APPLIED,
Big Air - PS1 Game,Playstation,game only,loose,pc,5.23,8.08,7.99,-0.09,2.23,NO_CHANGE,
Big Air - PS1 Game,Playstation,complete (cib),cib,pc,9.19,12.99,12.99,0.00,3.12,NO_CHANGE,
Big Beach Sports 2 - Wii Game,Wii,game only,loose,pc,5.85,7.94,7.99,0.05,1.61,NO_CHANGE,
Big Beach Sports 2 - Wii Game,Wii,complete (cib),cib,pc,7.34,9.99,9.99,0.00,2.06,NO_CHANGE,
Big League Sports: Summer - Wii Game,Wii,game only,loose,pc,3.54,4.99,4.99,0.00,1.01,NO_CHANGE,
Big League Sports: Summer - Wii Game,Wii,complete (cib),cib,pc,5.14,6.99,6.99,0.00,1.35,NO_CHANGE,
Big Mountain 2000 - Nintendo 64 Game,Nintendo 64,game only,loose,ebay(13),137.95,125.06,186.99,61.93,43.32,APPLIED,
Big Mountain 2000 - Nintendo 64 Game,Nintendo 64,complete (cib),cib,ebay(8),351.89,224.99,475.99,251.00,110.00,APPLIED,
Big Nose the Caveman - NES Game,NES,game only,loose,pc,15.99,21.99,21.99,0.00,5.06,NO_CHANGE,
Big Nose the Caveman - NES Game,NES,complete (cib),cib,pc,45.29,61.99,61.99,0.00,14.60,NO_CHANGE,
Biggest Loser Challenge - Wii Game,Wii,game only,loose,pc,4.75,6.87,6.99,0.12,1.74,NO_CHANGE,
Biggest Loser Challenge - Wii Game,Wii,complete (cib),cib,pc,5.68,7.99,7.99,0.00,1.78,NO_CHANGE,
Biker Mice From Mars - SNES Game,SNES,game only,loose,ebay(17),87.39,114.55,117.99,3.44,26.88,APPLIED,
Bill and Ted's Excellent Video Game - NES Game,NES,game only,loose,ebay(19),20.54,25.72,27.99,2.27,6.34,APPLIED,
Bill Walsh College Football 95 - Sega Genesis Game,Sega Genesis,game only,loose,pc,6.00,8.99,8.99,0.00,2.43,NO_CHANGE,
Bill Walsh College Football 95 - Sega Genesis Game,Sega Genesis,complete (cib),cib,pc,8.84,11.99,11.99,0.00,2.50,NO_CHANGE,
Billy Hatcher and the Giant Egg - Gamecube Game,Gamecube,game only,loose,pc,54.99,74.99,74.99,0.00,17.53,NO_CHANGE,
Billy Hatcher and the Giant Egg - Gamecube Game,Gamecube,complete (cib),cib,pc,98.50,132.99,132.99,0.00,30.33,NO_CHANGE,
Bio-Hazard Battle - Sega Genesis Game,Sega Genesis,game only,loose,ebay(44),26.67,36.22,36.99,0.77,8.95,APPLIED,
Bio-Hazard Battle - Sega Genesis Game,Sega Genesis,complete (cib),cib,ebay(15),47.85,64.99,64.99,0.00,14.96,NO_CHANGE,
Biofreaks - Nintendo 64 Game,Nintendo 64,game only,loose,pc,13.85,18.99,18.99,0.00,4.29,NO_CHANGE,
