title,handle,shopify_product_id,loose_price,cib_price,ratio,uplift_when,uplift_run
Backyard Football 08 - PS2 Game,backyard-football-08-ps2-game,gid://shopify/Product/7956612055074,10.45,17.99,1.72,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Backyard Football 2006 - GBA Game,backyard-football-2006-gba-game,gid://shopify/Product/7956612120610,5.79,9.99,1.73,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Backyard Football 2006 - PS2 Game,backyard-football-2006-ps2-game,gid://shopify/Product/7956612153378,8.32,13.99,1.68,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Backyard Hockey - GBA Game,backyard-hockey-gba-game,gid://shopify/Product/7956612186146,8.31,13.99,1.68,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bad Boys Miami Takedown - PS2 Game,bad-boys-miami-takedown-ps2-game,gid://shopify/Product/7956612317218,8.3,13.99,1.69,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bad News Baseball - NES Game,bad-news-baseball-nes-game,gid://shopify/Product/7956612382754,26.33,46.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bad Street Brawler - NES Game,bad-street-brawler-nes-game,gid://shopify/Product/7956612415522,14.49,25.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bandai Golf Challenge Pebble Beach - NES Game,bandai-golf-challenge-pebble-beach-nes-game,gid://shopify/Product/7956612841506,5.09,8.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Barbie Gotta Have Games - PS1 Game,barbie-gotta-have-games-ps1-game,gid://shopify/Product/7956613300258,9.5,16.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Barbie Horse Adventures Wild Horse Rescue - PS2 Game,barbie-horse-adventures-wild-horse-rescue-ps2-game,gid://shopify/Product/7956613333026,19.84,34.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Baseball Blast! - Wii Game,baseball-blast-wii-game,gid://shopify/Product/7956613890082,10.51,17.99,1.71,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Baseball Stars 2 - NES Game,baseball-stars-2-nes-game,gid://shopify/Product/7956613955618,40.67,72.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bases Loaded 2 Second Season - NES Game,bases-loaded-2-second-season-nes-game,gid://shopify/Product/7956614053922,7.24,12.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Batman Beyond - Nintendo 64 Game,batman-beyond-nintendo-64-game,gid://shopify/Product/7956614381602,63.7,113.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Batman Forever - SNES Game,batman-forever-snes-game,gid://shopify/Product/7956614578210,12.3,21.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Batman Returns - Sega Genesis Game,batman-returns-sega-genesis-game,gid://shopify/Product/7956614676514,19.39,33.99,1.75,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Batman Revenge of the Joker - Sega Genesis Game,batman-revenge-of-the-joker-sega-genesis-game,gid://shopify/Product/7956614742050,78.72,140.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Batman Rise of Sin Tzu - GBA Game,batman-rise-of-sin-tzu-gba-game,gid://shopify/Product/7956614807586,36.24,64.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Battle Bull - Gameboy Game,battle-bull-gameboy-game,gid://shopify/Product/7956615299106,27.59,48.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Battle Clash - SNES Game,battle-clash-snes-game,gid://shopify/Product/7956615331874,10.22,17.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Battle Hunter - PS1 Game,battle-hunter-ps1-game,gid://shopify/Product/7956615397410,17.23,30.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Battle Master - Sega Genesis Game,battle-master-sega-genesis-game,gid://shopify/Product/7956615430178,22.23,39.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Battle of Giants: Dinosaurs Strike - Wii Game,battle-of-giants-dinosaurs-strike-wii-game,gid://shopify/Product/7956615495714,12.73,21.99,1.73,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Battle Squadron - Sega Genesis Game,battle-squadron-sega-genesis-game,gid://shopify/Product/7956615626786,27.48,48.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Battletech - Sega Genesis Game,battletech-sega-genesis-game,gid://shopify/Product/7956615987234,28.25,49.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Beetlejuice - Gameboy Game,beetlejuice-gameboy-game,gid://shopify/Product/7956616609826,75.6,135.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
BeetleJuice - NES Game,beetlejuice-nes-game,gid://shopify/Product/7956616675362,44.05,78.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Berenstain Bears and the Spooky Old Tree - GBA Game,berenstain-bears-and-the-spooky-old-tree-gba-game,gid://shopify/Product/7956617691170,15.27,26.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Beyblade V Force - GBA Game,beyblade-v-force-gba-game,gid://shopify/Product/7956617953314,5.44,8.99,1.65,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Beyond Oasis - Sega Genesis Game,beyond-oasis-sega-genesis-game,gid://shopify/Product/7956618117154,74.3,132.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Big Mountain 2000 - Nintendo 64 Game,big-mountain-2000-nintendo-64-game,gid://shopify/Product/7956618477602,125.06,224.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Biker Mice From Mars - SNES Game,biker-mice-from-mars-snes-game,gid://shopify/Product/7956618739746,114.55,205.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bill and Ted's Excellent Video Game - NES Game,bill-and-teds-excellent-video-game-nes-game,gid://shopify/Product/7956618772514,25.72,45.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bio-Hazard Battle - Sega Genesis Game,bio-hazard-battle-sega-genesis-game,gid://shopify/Product/7956618969122,36.22,64.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bionicle Heroes - Gamecube Game,bionicle-heroes-gamecube-game,gid://shopify/Product/7956619231266,11.81,20.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Black Bass - NES Game,black-bass-nes-game,gid://shopify/Product/7956619493410,13.04,22.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Blackthornes - SNES Game,blackthornes-snes-game,gid://shopify/Product/7956619722786,67.66,120.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Blades of Thunder - GBA Game,blades-of-thunder-gba-game,gid://shopify/Product/7956620017698,13.75,23.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Blades of Vengeance - Sega Genesis Game,blades-of-vengeance-sega-genesis-game,gid://shopify/Product/7956620050466,63.06,112.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Blast Lacrosse - PS1 Game,blast-lacrosse-ps1-game,gid://shopify/Product/7956620181538,14.76,25.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Blaster Master II - Sega Genesis Game,blaster-master-ii-sega-genesis-game,gid://shopify/Product/7956620345378,47.13,83.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Blender Bros - GBA Game,blender-bros-gba-game,gid://shopify/Product/7956620509218,75.36,134.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Blitz Overtime - PSP Game,blitz-overtime-psp-game,gid://shopify/Product/7956620607522,23.57,41.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Blowout - Gamecube Game,blowout-gamecube-game,gid://shopify/Product/7956621099042,7.5,12.99,1.73,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
BMX Trick Racer - GBA Game,bmx-trick-racer-gba-game,gid://shopify/Product/7956621197346,5.37,8.99,1.67,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bogey Dead 6 - PS1 Game,bogey-dead-6-ps1-game,gid://shopify/Product/7956621492258,10.11,17.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bomberman Party Edition - PS1 Game,bomberman-party-edition-ps1-game,gid://shopify/Product/7956622180386,18.98,33.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bonkers - Sega Genesis Game,bonkers-sega-genesis-game,gid://shopify/Product/7956622376994,20.17,35.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Boogerman A Pick and Flick Adventure - Sega Genesis Game,boogerman-a-pick-and-flick-adventure-sega-genesis-game,gid://shopify/Product/7956622475298,35.8,63.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bookworm - GBA Game,bookworm-gba-game,gid://shopify/Product/7956622606370,20.3,35.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Boombots - PS1 Game,boombots-ps1-game,gid://shopify/Product/7956622704674,13.24,22.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
BRAHMA Force the Assault on Beltlogger 9 - PS1 Game,brahma-force-the-assault-on-beltlogger-9-ps1-game,gid://shopify/Product/7956622966818,18.98,33.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Brain Lord - SNES Game,brain-lord-snes-game,gid://shopify/Product/7956623065122,63.8,113.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Brave Fencer Musashi - PS1 Game,brave-fencer-musashi-ps1-game,gid://shopify/Product/7956623654946,97.19,173.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Brave Story New Traveler - PSP Game,brave-story-new-traveler-psp-game,gid://shopify/Product/7956623687714,47.07,83.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Breath of Fire - SNES Game,breath-of-fire-snes-game,gid://shopify/Product/7956623949858,65.25,116.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Breath of Fire 3 - PSP Game,breath-of-fire-3-psp-game,gid://shopify/Product/7956624015394,34.22,60.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Breath of Fire II - SNES Game,breath-of-fire-ii-snes-game,gid://shopify/Product/7956624080930,123.24,220.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Breeders' Cup World Thoroughbred Championships - PS2 Game,breeders-cup-world-thoroughbred-championships-ps2-game,gid://shopify/Product/7956624146466,6.9,11.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Breeders' Cup World Thoroughbred Championships - Xbox Game,breeders-cup-world-thoroughbred-championships-xbox-game,gid://shopify/Product/7956624179234,5.25,8.99,1.71,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bubble and Squeak - Sega Genesis Game,bubble-and-squeak-sega-genesis-game,gid://shopify/Product/7956624736290,30.07,53.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bubsy II - Sega Genesis Game,bubsy-ii-sega-genesis-game,gid://shopify/Product/7956625031202,20.2,35.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Buck Rogers Countdown to Doomsday - Sega Genesis Game,buck-rogers-countdown-to-doomsday-sega-genesis-game,gid://shopify/Product/7956625063970,47.85,85.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Budokan: The Martial Spirit - Sega Genesis Game,budokan-the-martial-spirit-sega-genesis-game,gid://shopify/Product/7956625096738,15.56,27.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bug Riders - PS1 Game,bug-riders-ps1-game,gid://shopify/Product/7956625293346,11.34,19.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bugs Bunny Rabbit Rampage - SNES Game,bugs-bunny-rabbit-rampage-snes-game,gid://shopify/Product/7956625588258,14.7,25.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Build 'N Race - Wii Game,build-n-race-wii-game,gid://shopify/Product/7956625621026,8.26,13.99,1.69,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bujingai The Forsaken City - PS2 Game,bujingai-the-forsaken-city-ps2-game,gid://shopify/Product/7956625653794,37.24,66.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bump 'n' Jump - NES Game,bump-n-jump-nes-game,gid://shopify/Product/7956625719330,13.4,23.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Burning Force - Sega Genesis Game,burning-force-sega-genesis-game,gid://shopify/Product/7956625850402,54.16,96.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bust-A-Move 3000 - Gamecube Game,bust-a-move-3000-gamecube-game,gid://shopify/Product/7956626472994,68.2,121.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Bust-A-Move 99 - Nintendo 64 Game,bust-a-move-99-nintendo-64-game,gid://shopify/Product/7956626505762,56.0,99.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cabal - NES Game,cabal-nes-game,gid://shopify/Product/7956626866210,14.05,24.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cabela's Alaskan Adventures - PS2 Game,cabelas-alaskan-adventures-ps2-game,gid://shopify/Product/7956626964514,6.97,11.99,1.72,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cabela's Big Game Hunter 2005 Adventures - Gamecube Game,cabelas-big-game-hunter-2005-adventures-gamecube-game,gid://shopify/Product/7956627062818,11.5,19.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cabela's Deer Hunt 2005 - PS2 Game,cabelas-deer-hunt-2005-ps2-game,gid://shopify/Product/7956627226658,9.48,16.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cabela's Legendary Adventures - PS2 Game,cabelas-legendary-adventures-ps2-game,gid://shopify/Product/7956627259426,10.47,17.99,1.72,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cabela's Legendary Adventures - PSP Game,cabelas-legendary-adventures-psp-game,gid://shopify/Product/7956627292194,11.2,19.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cabela's Monster Bass - PS2 Game,cabelas-monster-bass-ps2-game,gid://shopify/Product/7956627324962,5.68,9.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cabela's Trophy Bucks - PS2 Game,cabelas-trophy-bucks-ps2-game,gid://shopify/Product/7956627554338,8.08,13.99,1.73,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cake Mania Baker's Challenge - PS2 Game,cake-mania-bakers-challenge-ps2-game,gid://shopify/Product/7956627816482,9.33,15.99,1.71,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Caliber 50 - Sega Genesis Game,caliber-50-sega-genesis-game,gid://shopify/Product/7956627849250,63.68,113.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
California Games - Sega Genesis Game,california-games-sega-genesis-game,gid://shopify/Product/7956627882018,15.65,27.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
California Speed - Nintendo 64 Game,california-speed-nintendo-64-game,gid://shopify/Product/7956627980322,23.29,40.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Canada Hunt - Wii Game,canada-hunt-wii-game,gid://shopify/Product/7956628504610,13.07,22.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Captain Comic - NES Game,captain-comic-nes-game,gid://shopify/Product/7956629028898,25.24,44.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
CART World Series - PS1 Game,cart-world-series-ps1-game,gid://shopify/Product/7956630470690,15.03,26.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Castle of Shikigami III - Wii Game,castle-of-shikigami-iii-wii-game,gid://shopify/Product/7956630798370,55.42,98.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Castlequest - NES Game,castlequest-nes-game,gid://shopify/Product/7956630896674,12.59,21.99,1.75,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Centipede: Infestation - Wii Game,centipede-infestation-wii-game,gid://shopify/Product/7956631748642,14.88,25.99,1.75,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Champions World Class Soccer - Sega Genesis Game,champions-world-class-soccer-sega-genesis-game,gid://shopify/Product/7956631879714,6.8,11.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Championship Bowling - NES Game,championship-bowling-nes-game,gid://shopify/Product/7956631912482,7.19,11.99,1.67,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Championship Foosball - Wii Game,championship-foosball-wii-game,gid://shopify/Product/7956631945250,7.63,12.99,1.7,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Chiller - NES Game,chiller-nes-game,gid://shopify/Product/7956632895522,147.28,264.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Circus Caper - NES Game,circus-caper-nes-game,gid://shopify/Product/7956633354274,15.52,26.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Clash at Demonhead - NES Game,clash-at-demonhead-nes-game,gid://shopify/Product/7956633452578,30.02,53.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
ClayFighter - SNES Game,clayfighter-snes-game,gid://shopify/Product/7956633616418,25.35,44.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
ClayFighter 2 Judgment Clay - SNES Game,clayfighter-2-judgment-clay-snes-game,gid://shopify/Product/7956633649186,25.33,44.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cleopatra's Fortune - PS1 Game,cleopatras-fortune-ps1-game,gid://shopify/Product/7956633681954,7.32,12.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Coach K College Basketball - Sega Genesis Game,coach-k-college-basketball-sega-genesis-game,gid://shopify/Product/7956634107938,11.01,18.99,1.72,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cobra Command - NES Game,cobra-command-nes-game,gid://shopify/Product/7956634140706,14.4,24.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Code Lyoko Quest for Infinity - PS2 Game,code-lyoko-quest-for-infinity-ps2-game,gid://shopify/Product/7956634304546,33.36,59.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Code Name Viper - NES Game,code-name-viper-nes-game,gid://shopify/Product/7956634370082,13.21,22.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
College Hoops 2K7 - PS2 Game,college-hoops-2k7-ps2-game,gid://shopify/Product/7956634763298,10.41,17.99,1.73,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
College Hoops 2K8 - PS2 Game,college-hoops-2k8-ps2-game,gid://shopify/Product/7956634796066,24.61,43.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
College Slam - Gameboy Game,college-slam-gameboy-game,gid://shopify/Product/7956634861602,14.91,25.99,1.74,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
College Slam - Sega Genesis Game,college-slam-sega-genesis-game,gid://shopify/Product/7956634894370,8.32,13.99,1.68,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Combat Elite W - Wii Game Paratroopers - PS2 Game,combat-elite-w-wii-game-paratroopers-ps2-game,gid://shopify/Product/7956635156514,11.86,20.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Comix Zone - Sega Genesis Game,comix-zone-sega-genesis-game,gid://shopify/Product/7956635189282,36.18,64.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Conan the Mysteries of Time - NES Game,conan-the-mysteries-of-time-nes-game,gid://shopify/Product/7956635484194,144.54,259.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Contra Adventure - PS1 Game,contra-adventure-ps1-game,gid://shopify/Product/7956635811874,47.31,84.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Contra Legacy of War - Sega Saturn Game,contra-legacy-of-war-sega-saturn-game,gid://shopify/Product/7956635910178,120.0,215.99,1.8,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cool Boarders 2001 - PS2 Game,cool-boarders-2001-ps2-game,gid://shopify/Product/7956636172322,6.25,10.99,1.76,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Cosmo Tank - Gameboy Game,cosmo-tank-gameboy-game,gid://shopify/Product/7956636532770,20.88,36.99,1.77,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Crash 'n' the Boys: Street Challenge - NES Game,crash-n-the-boys-street-challenge-nes-game,gid://shopify/Product/7956636762146,55.36,98.99,1.79,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Crayola Colorful Journey - Wii Game,crayola-colorful-journey-wii-game,gid://shopify/Product/7956637417506,7.72,12.99,1.68,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Crazy Frog Arcade Racer - PS2 Game,crazy-frog-arcade-racer-ps2-game,gid://shopify/Product/7956637450274,17.1,29.99,1.75,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
Crimson Gem Saga - PSP Game,crimson-gem-saga-psp-game,gid://shopify/Product/7956637745186,54.38,96.99,1.78,2026-04-11T15:09:50,fix-cib-equals-loose-20260411_150950.csv
